[keepalive] Installing dependencies...
bun install v1.3.10 (30e609e0)
No packages! Deleted empty lockfile

[1.00ms] done
[keepalive] Running bun run dev...
$ bun --hot index.ts
[2026-04-03T13:29:49.320Z] Server not responding
[2026-04-03T13:29:59.320Z] Server not responding
[2026-04-03T13:30:09.321Z] Server not responding
[2026-04-03T13:30:19.320Z] Server not responding
[2026-04-03T13:30:39.321Z] Server not responding
[2026-04-03T13:30:49.320Z] Server not responding
[2026-04-03T13:30:59.321Z] Server not responding
[2026-04-03T13:31:09.321Z] Server not responding
[2026-04-03T13:31:19.321Z] Server not responding
[2026-04-03T13:31:29.321Z] Server not responding
[2026-04-03T13:31:39.321Z] Server not responding
[2026-04-03T13:31:49.321Z] Server not responding
[2026-04-03T13:31:59.321Z] Server not responding
[2026-04-03T13:32:19.321Z] Server not responding
[2026-04-03T13:32:29.321Z] Server not responding
[2026-04-03T13:32:39.321Z] Server not responding
[2026-04-03T13:32:49.321Z] Server not responding
[2026-04-03T13:32:59.321Z] Server not responding
[2026-04-03T13:33:09.321Z] Server not responding
[2026-04-03T13:33:19.322Z] Server not responding
[2026-04-03T13:33:29.322Z] Server not responding
[2026-04-03T13:33:39.322Z] Server not responding
[2026-04-03T13:33:49.322Z] Server not responding
[2026-04-03T13:33:59.322Z] Server not responding
[2026-04-03T13:34:09.322Z] Server not responding
[2026-04-03T13:34:19.322Z] Server not responding
[2026-04-03T13:34:29.322Z] Server not responding
[2026-04-03T13:34:39.322Z] Server not responding
[2026-04-03T13:34:49.322Z] Server not responding
[2026-04-03T13:34:59.322Z] Server not responding
[2026-04-03T13:35:09.322Z] Server not responding
[2026-04-03T13:35:39.322Z] Server not responding
[2026-04-03T13:35:49.322Z] Server not responding
[2026-04-03T13:35:59.322Z] Server not responding
[2026-04-03T13:36:09.323Z] Server not responding
[2026-04-03T13:36:19.323Z] Server not responding
[2026-04-03T13:36:29.323Z] Server not responding
[2026-04-03T13:36:39.323Z] Server not responding
[2026-04-03T13:36:49.323Z] Server not responding
[2026-04-03T13:36:59.323Z] Server not responding
[2026-04-03T13:37:09.323Z] Server not responding
[2026-04-03T13:37:19.323Z] Server not responding
[2026-04-03T13:37:29.324Z] Server not responding
[2026-04-03T13:37:39.323Z] Server not responding
